BEAM,B35,STORY4,B52
BEAM,B36,STORY4,B53
BEAM,B37,STORY4,B54
BEAM,B38,STORY4,B55
BEAM,B39,STORY4,B56
BEAM,B40,STORY4,B57
BEAM,B41,STORY4,B58
BEAM,B42,STORY4,B63
BEAM,B43,STORY4,B62
BEAM,B44,STORY4,B60
BEAM,B45,STORY4,B61
BEAM,B46,STORY4,B64
BEAM,B47,STORY4,B65
BEAM,B1,STORY5,B2
BEAM,B2,STORY5,B3
BEAM,B3,STORY5,B5
BEAM,B4,STORY5,B6
BEAM,B5,STORY5,B7
BEAM,B6,STORY5,B8
BEAM,B7,STORY5,B9
BEAM,B8,STORY5,B10
BEAM,B9,STORY5,B11
BEAM,B10,STORY5,B12
BEAM,B11,STORY5,B13
BEAM,B12,STORY5,B14
BEAM,B13,STORY5,B15
BEAM,B14,STORY5,B19
BEAM,B15,STORY5,B20
BEAM,B16,STORY5,B21
BEAM,B17,STORY5,B22
BEAM,B18,STORY5,B24
BEAM,B19,STORY5,B25
BEAM,B20,STORY5,B26
BEAM,B21,STORY5,B27
BEAM,B22,STORY5,B28
BEAM,B23,STORY5,B29
BEAM,B24,STORY5,B30
BEAM,B25,STORY5,B31
BEAM,B26,STORY5,B32
BEAM,B27,STORY5,B34
BEAM,B28,STORY5,B35
BEAM,B29,STORY5,B36
BEAM,B30,STORY5,B37
BEAM,B31,STORY5,B38
BEAM,B32,STORY5,B49
BEAM,B33,STORY5,B50
BEAM,B34,STORY5,B51
BEAM,B35,STORY5,B52
BEAM,B36,STORY5,B53
BEAM,B37,STORY5,B54
BEAM,B38,STORY5,B55
BEAM,B39,STORY5,B56
BEAM,B40,STORY5,B57
BEAM,B41,STORY5,B58
BEAM,B42,STORY5,B63
BEAM,B43,STORY5,B62
BEAM,B44,STORY5,B60
BEAM,B45,STORY5,B61
BEAM,B46,STORY5,B64
BEAM,B47,STORY5,B65
BEAM,B1,STORY6,B2
BEAM,B2,STORY6,B3
BEAM,B3,STORY6,B5
BEAM,B4,STORY6,B6
BEAM,B5,STORY6,B7
BEAM,B6,STORY6,B8
BEAM,B7,STORY6,B9
BEAM,B8,STORY6,B10
BEAM,B9,STORY6,B11
BEAM,B10,STORY6,B12
BEAM,B11,STORY6,B13
BEAM,B12,STORY6,B14
BEAM,B13,STORY6,B15
BEAM,B14,STORY6,B19
BEAM,B15,STORY6,B20
BEAM,B16,STORY6,B21
BEAM,B17,STORY6,B22
